STATE,SCHOOL_NAME,EMAIL,WEB_ADDRESS,CONTACT_INFO,ADDRESS_AND_PHONE_INFO,STUDENTS_INFO
Alabama,Bayshore Christian School,pmckee@bayshorechristian.org,http://www.bayshorechristian.org/,"Mrs. Pam McKee, Headmaster : 10/04 - MemberG","23050 US Hwy 98, Fairhope, AL  36532(251) 929-0011  FAX: (251) 928-0149E",K-10 (161 students)
Alabama,Cornerstone Classical Christian Academy,pstewart@ccamontgomery.org,http://www.ccamontgomery.org/,Priscilla Stewart : 5/06 - MemberG,"125 Calhoun Rd, Montgomery, AL 36109(334) 356-7788   FAX: none availableE", K-12 (97 students)
Alabama,Evangel Classical Christian School,kparks@evangelclassical.org,http://www.evangelclassical.org/,"Ted Trainor, Administrator : 9/00 - MemberG","ACCS Accredited Since February 2010  423 Thompson Road, Alabaster, AL  35007(205) 216-0149  FAX: (205) 216-0150E",K-12 (367 students)
Alabama,Great Books Honors College,rmwoods@faulkner.edu,http://studyliberalarts.org/,  Dr. Robert Woods : 6/10 - MemberG,"5345 Atlanta Highway, Montgomery, AL  36109E",College (60 students)
Alabama,Providence Christian School,elatta2@prov-cs.net,http://www.providencechristianschool.com/,"Emory Latta, Head of School               Kathy Compton, Logic/Rhetoric Principal               Darlene Jones, Grammar Principal : 2/96 - CharterG","  4847 Murphy Mill Road, Dothan, AL   36303(334) 702-8933  FAX (334) 702-0700E",1-12 (753 students)
Alabama,Providence Classical School,pcsoffice@providenceclassical.org,http://www.providenceclassical.org,Mrs. Pattie Steward : 2/05 - MemberG,"605 Clinton Ave. E, Huntsville, AL  35801(256) 852-8884  FAX: (256) 852-8884E",K-12 (194 students)
Alabama,Riverwood Classical School,secretary@riverwoodclassical.org,http://www.riverwoodclassical.org,"Kimberly Staggs, Grammar Principal : 2/09 - MemberG","501 Rice Valley Road North, Tuscaloosa, AL 35406(205) 758-5502   FAX: (205) 758-4212E",PreK-10 (25 students)
Alabama,The Westminster School at Oak Mountain,bgriffith@westminsterknights.org,http://www.westminsterknights.org,"Robbie Hinton, Head of School : 5/99 - MemberG","(formerly known as Oak Mountain Classical School)5080 Cahaba Valley Trace, Birmingham, AL  35242(205) 995-9694 FAX (205) 980-9095E",K-12 (531 students)
Alabama,Trinity Christian School,tcssecretary@bellsouth.net,http://www.tcsopelika.org/,"Mrs. Sharon C. Miller, Administrator              Mr. Larry Cornelius, Headmaster : 3/04 - MemberG","ACCS Accredited Since November 2012PO Box 311, Opelika, AL  36803 (mailing address)1010 India Road, Opelika, AL 36801 (facility address)(334) 745-2464  FAX: (334) 745-4856E",K-12 (166 students) 
Arizona,Logos Christian Academy,info@logosclassical.com,http://www.logosclassical.com,"Dr. Larry Stephenson, AdministratorEmail: Information : 5/10 - MemberG","PO Box 11493, Casa Grande, AZ 85130 (Mailing address)9745 N. Trekell Rd., Casa Grande, AZ  85122 (Facility address)(520) 421-1220  FAX: None availableContact: Dr. Larry Stephenson, AdministratorE",K-8  (48 students)
Arizona,United Christian School,kallegra@qwestoffice.net,http://www.cvucs.org,Mrs. Michele EvansEmail: Information : 11/14 - MemberG,"PO Box 3126, Camp Verde, AZ  86322 (Mailing address)903 W. Finnie Flat Rd., Camp Verde, AZ  86322 (Facility address)(928) 567-0415  FAX: (928) 567-9774Contact: Mrs. Michele EvansE",PreK-8 (101 students) 
Arizona,Veritas Christian Community School,jtinney@veritasccs.com,http://www.veritasccs.com,"  Jason Tinney, Headmaster : 10/03 - MemberG","ACCS Accredited since February 2012     215 Taylor Drive, Sierra Vista, AZ   85635(520) 417-1113   FAX:  (520) 417-0180 E",  K-12 (108 students)
Arizona,Wickenburg Christian Academy,office.wca@gmail.com,http://www.wickenburgchristianacademy.org,"Kevin Armstrong, Administrator : 10/12 - MemberG","260 W. Yavapai St., Wickenburg, AZ  85390(928) 684-5916  FAX: (928) 684-6104E",K-12 (89 students) 
Arkansas,Legacy Academy,chad.gallagher@legacymail.org,http://www.legacyacademyonline.com,"Jessica Gallagher, Headmaster : 9/08 - MemberG","314 West Gilson Ave., DeQueen, AR 71832(870) 642-8937   FAX: (866) 925-4549E-mail: InformationC",K-7 (52 students)
Arkansas,Pinnacle Classical Academy,pinnacleclassical@gmail.com,http://www.pinnacleclassical.com,"Chad Muller, Headmaster : 3/10 - MemberG","PO Box 241822, Little Rock, AR 72223-1822(501) 240-9080E",K-9 (20 students)
Arkansas,Veritas Academy ,veritas@cableone.net,http://www.veritasacademytxk.com,"Mr. House, Headmaster : 6/96 - MemberG","2101 E. 50th Street, Texarkana, AR  71854(870) 772-0646  FAX (870) 773-3424E-mail: InformationC",K-12 (39 students) 
California,Beacon Hill Classical Academy,devin@beaconhillclassical.org,http://www.beaconhillclassical.org/,"Dennis Deutsch, Headmaster : 11/08 - MemberG","2304 Antonio Ave., Camarillo, CA 93010(805) 389-6581   FAX: none availableE",K-8 (131 students)
California,Grace Classical Academy,gina@graceclassicalacademy.com,http://www.graceclassicalacademy.com/,"Gina Bonecutter, Administrator : 8/02 - Member G"," 24600 La Plata Dr, Laguna Niguel, CA  92677(949) 481-9250  FAX: None availableE",K-8 (102 students)
California,Harvest Christian School,info@harvestpetaluma.org,http://www.harvestpetaluma.org/,Jonathan Wraith : 4/06 - MemberG,"3700 Lakeville Hwy, Ste 210, Petaluma, CA  94954(707) 763-2954   FAX: (707) 763-0159E",K-8 (132 students)
California,Heritage Oak School,wendy@countryoaks.org,http://www.heritageoakschool.com/,"Amy Walker, Administrator : 4/99 - MemberG","     20915 Schout RD, Tehachapi, CA   93561(661) 823-0885  FAX:  (661) 823-0863E",K-12 (51 students)
California,Horizon Prep School,bgammel@horizonprep.org,http://www.horizonprep.org,Dr. Ken Kush : 8/06 - MemberG,"PO Box 9070, Rancho Santa Fe, CA  92067 (mailing address)6233 El Apajo Rd., Rancho Santa Fe, CA  92067 (facility address)(858) 756-5599  FAX: (858) 759-5827E",K-10 (313 students)
California,Logos Classical Institute of SVCS,pcrhee@svcschools.org,http://www.svcschools.org,"Paul Rhee, Head of School : 3/13 - MemberG","26333 Oso Rd., San Juan Capistrano, CA  92675(949) 443-4050  FAX: (949) 443-3941E",7-12 (30 students)
California,Olive Branch Christian Academy,mlogan@obcschool.org,http://obcschool.org/,"Mandy Logan, Administrator              Ryan Devine, Academic Administrator : 2/08 - MemberG","7702 El Cerrito Road, Corona, CA 92881(951) 279-9977   FAX: (951) 520-9797E",K-8 (145 students)
California,St. Abraham's Classical Christian Academy,st.abrahams@gmail.com,http://www.stabrahams.wordpress.com,Corey McEachran : 2/12 - MemberG,"1940 Bonita Dr., Aptos, CA 95003(831) 334-5361  FAX: None availableE",K-9 (90 students)
California,The Cambridge School,info@cambridgeclassical.org,http://www.cambridgeclassical.org/,"Mrs. Jean C. Kim, Head of School              Mrs. Jenni Helj, Grammar School Principal : 3/06 - MemberG","PO Box 720508, San Diego, CA 92172 (mailing address)12855 Black Mountain Rd., San Diego, CA 92129 (facility address)(858) 484-3488  FAX: (858) 484-3458E",Kprep-9 (202 students)
California,Trinity Classical Academy,elizabethfroemming@sbcglobal.net,http://www.trinityclassicalacademy.com/,Mrs. Liz Caddow : 8/01 - MemberG,"  PO Box 802679, Santa Clarita, CA   91380(661) 296-2601   FAX: (661) 296-2601E",TK-12 (553 students)
California,Veritas Classical Academy,prlopez@kc.rr.com,http://www.veritasclassicalacademy.com,"Dr. David Kim, Headmaster : 10/14 - MemberG","4411 El Camino Real, Irvine, CA  92602 (mailing address)6550 Fairmont Blvd., Yorba Linda, CA  92886 (facility address)(714) 783-6731  FAX: None availableE",K-12 (44 students)G
Colorado,Arma Dei Academy,robi.marshall@armadeiacademy.com,http://www.armadeiacademy.com,"Robi Marshall, Principal : 7/12 - MemberG","345 E. Wildcat Reserve Parkway, Highlands Ranch, CO  80126(720) 363-1041  FAX: (720) 221-5045E",K-8 (67 students)
Colorado,Cornerstone Classical School,cornerstonebasalt@gmail.com,http://www.cornerstonebasalt.com,"Renee Miller, Director : 1/14 - MemberG","20449 Highway 82, Basalt, CO  81621(970) 927-9106  FAX: None availableE",K-12 (30 students)
